model_epoch_latest model testing on...
testset,accuracy,avg precision,precision,recall,ROC AUC,TP,FP,FN,TN
BigGAN,0.6075265936865666,0.03725090733160603,0.037240367539186164,0.40191666666666664,0.5103467873986827,0.014354935681078153,0.37111214291241795,0.02136126340101553,0.5931716580054884
glide,0.39966364542870325,0.037257385157665565,0.036574761607003285,0.6262127801940448,0.5130548247595826,0.022285722790254647,0.5870339777648792,0.013302376806417526,0.3773779226384486
midjourney,0.3030104439108961,0.037250003004323885,0.03696317866648866,0.7383333333333333,0.5156005807625215,0.026392769691806327,0.6876359108484411,0.009353645240662739,0.2766176742190898
vqdm,0.2955327380952381,0.03700278104319107,0.03663591334078452,0.74025,0.5141042382973251,0.0264375,0.6951904761904761,0.009276785714285715,0.2690952380952381
stable_diffusion_v_1_4,0.2119602258353497,0.03722543726689463,0.0367785844917885,0.83625,0.5161324321675818,0.029866338092304396,0.7821915076622707,0.005848266502379486,0.18209388774304533
