model_epoch_latest model testing on...
testset,accuracy,avg precision,precision,recall,ROC AUC,TP,FP,FN,TN
ADM,0.26816655453209715,0.03642510478560427,0.03657340408425792,0.7581666666666667,0.5059083181247594,0.027449335791242643,0.7230778978237848,0.008755547644118063,0.2407172187408545
BigGAN,0.4703436493621682,0.03616644525511648,0.03622350028225378,0.5400833333333334,0.5027964119148595,0.019289723854254096,0.5132298754099922,0.016426475227839587,0.4510539255079141
glide,0.2870146299355568,0.035400649985708944,0.03560103011578599,0.7295918367346939,0.49942414331330554,0.02596478695063327,0.7033620574184043,0.009623312646038905,0.26104984298492356
stable_diffusion_v_1_4,0.2744875698294925,0.03601786273524601,0.035891931724430705,0.7468333333333333,0.5044411614922361,0.026672857198129746,0.7164706827739533,0.009041747396554136,0.2478147126313628
midjourney,0.36363636363636365,0.03653529596214927,0.03599274621892059,0.6516666666666666,0.504921177687227,0.023294747064325674,0.623911968495493,0.01245166786814339,0.340341616572038
