model_epoch_latest model testing on...
testset,accuracy,avg precision,precision,recall,ROC AUC,TP,FP,FN,TN
ADM,0.2476595051395849,0.03830352233782045,0.03657988965118685,0.7806666666666666,0.5140621982415444,0.028263945668538258,0.7443995570935926,0.007940937766822448,0.21939555947104666
BigGAN,0.30279895946806673,0.0375711709503599,0.03583467346128945,0.7149166666666666,0.5105633988410878,0.025534105993773475,0.687018947443613,0.010182093088320208,0.27726485347429325
glide,0.5359467785864178,0.037265107565740294,0.0363283791706126,0.4716460354633657,0.506645046355199,0.016784986084445834,0.44525010790135583,0.01880311351222634,0.519161792501972
vqdm,0.22088392857142858,0.037964940828786396,0.03595566570185445,0.8064166666666667,0.5123614579475309,0.02880059523809524,0.7722023809523809,0.006913690476190476,0.19208333333333333
stable_diffusion_v_1_4,0.23888903769974137,0.037818062110923964,0.036063302078217736,0.7894166666666667,0.51186950354993,0.02819370411045337,0.7535900618160282,0.007520900484230514,0.210695333589288
