model_epoch_latest model testing on...
testset,accuracy,avg precision,precision,recall,ROC AUC,TP,FP,FN,TN
ADM,0.1253322552323599,0.03538520059667672,0.036238994466360946,0.9048333333333334,0.4976661954095672,0.03275938536176221,0.8712222466940416,0.003445498073598494,0.09257286987059771
BigGAN,0.08115910971421088,0.03482680722489357,0.03576926928179838,0.9525833333333333,0.4939628108197369,0.03402265597561774,0.9171473471793132,0.0016935431064759423,0.04713645373859314
glide,0.22267565596582875,0.03453014346808309,0.03554041258788181,0.797423887587822,0.4949062057530379,0.028378800732240927,0.7701150451697399,0.007209298864431248,0.19429685523358783
vqdm,0.16327380952380952,0.03503473340478575,0.03588869881911489,0.8671666666666666,0.49968692888374483,0.030970238095238096,0.8319821428571429,0.004744047619047619,0.13230357142857144
midjourney,0.19953946702095335,0.034409176924683066,0.035725782823989846,0.8230833333333333,0.49384466552671524,0.02942227835733308,0.7941363964039106,0.006324136575135985,0.17011718866362027
