model_epoch_latest model testing on...
testset,accuracy,avg precision,precision,recall,ROC AUC,TP,FP,FN,TN
ADM,0.17329769163697364,0.03806732337194539,0.03590760946577866,0.8446666666666667,0.5081839882672243,0.030581058208401343,0.821078483136067,0.0056238252269593635,0.1427166334285723
glide,0.2194520099418077,0.03707990868488706,0.035483739248898444,0.7995148879223821,0.5049297887110129,0.028453215460403924,0.773413105921924,0.00713488413626825,0.19099879448140375
midjourney,0.16359346793844468,0.0379595481951287,0.03578583765112262,0.8633333333333333,0.5128265771645175,0.03086107155836496,0.8315211886874512,0.004885343374104106,0.13273239638007972
vqdm,0.19489285714285715,0.03741650615784221,0.035664506487721466,0.8273333333333334,0.5079804007201647,0.029547619047619048,0.7989404761904761,0.006166666666666667,0.1653452380952381
stable_diffusion_v_1_4,0.11059027312743863,0.03808629016977663,0.03576457335961701,0.92075,0.5126555064553067,0.03288422218055519,0.8865793444584327,0.0028303824141286977,0.07770605094688346
