model_epoch_latest model testing on...
testset,accuracy,avg precision,precision,recall,ROC AUC,TP,FP,FN,TN
ADM,0.24684187818866968,0.038582321083575025,0.03658098989820196,0.7815833333333333,0.5138689221790573,0.028297133478354004,0.7452503718543236,0.007907749957006702,0.21854474471031568
BigGAN,0.3027543142192141,0.03685743861997154,0.03588670609067522,0.7160833333333333,0.5068480408119381,0.025575774892702585,0.6871052615913947,0.010140424189391099,0.27717853932651154
midjourney,0.31668642649047657,0.03766435673944978,0.03634393649195698,0.71,0.5126201924067084,0.025379954602053036,0.6729471131791074,0.010366460330416029,0.2913064718884235
vqdm,0.2216547619047619,0.038247875106615786,0.03599720323413245,0.8065833333333333,0.514627567515432,0.02880654761904762,0.7714375,0.006907738095238095,0.19284821428571428
stable_diffusion_v_1_4,0.23951999571424745,0.03808811521415583,0.03612070968946324,0.7900833333333334,0.5145781155638272,0.028217513846849823,0.7529829135379185,0.007497090747834058,0.2113024818673976
